fecha,1111,1112,1113,1114,1119,1121,1123,1124,1125,1129,1132,1133,1141,1151,1152,2111,2121,2122,2123,3111,3112,3113,3114,3115,3116,3117,3118,3119,3121,3122,3131,3132,3133,3141,3149,3151,3152,3159,3161,3162,3169,3211,3212,3219,3221,3222,3231,3241,3251,3252,3253,3254,3255,3256,3259,3261,3262,3271,3272,3273,3274,3279,3311,3312,3313,3314,3315,3321,3322,3323,3324,3325,3326,3327,3329,3331,3332,3333,3334,3335,3336,3339,3341,3342,3343,3344,3345,3346,3351,3352,3353,3359,3361,3362,3363,3364,3365,3366,3369,3371,3372,3379,3391,3399,9100,9300,9800,9900
2013-01-01,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000008,,0.000000,0.000000,0.000381,0.000001,0.000082,0.000039,0.000000,0.000000,0.000000,0.000000,0.000371,0.000000,0.000000,0.000084,0.001265,0.001247,0.016520,0.006499,0.000099,0.009126,0.000832,0.001457,0.000858,0.000639,0.000000,0.000000,0.002846,0.000000,0.002124,0.000000,0.000047,0.002560,0.000969,0.004983,0.000003,0.000572,0.003066,0.000064,0.004639,0.002002,0.000408,0.001345,0.000000,0.000000,0.000969,0.000033,0.000000,0.000579,0.000015,0.000527,0.001408,0.001957,0.000220,0.001014,0.005830,0.001210,0.003412,0.005674,0.000888,0.001009,0.006752,0.000978,0.006278,0.003364,0.000624,0.000000,0.000117,0.000843,0.000929,0.002082,0.000024,0.004361,0.000846,0.005288,0.004373,0.000156,0.000876,0.004252,0.000186,0.001289,0.000110,0.002258,0.000000,0.000000,0.010078,0.000390,0.002213,0.000000,0.000044,0.000006,0.000000
2013-02-01,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,,0.000000,0.000000,0.000000,0.000006,0.000053,0.000006,0.000000,0.000000,0.000000,0.000000,0.000217,0.000002,0.000000,0.002345,0.001625,0.000760,0.007210,0.006937,0.000073,0.006640,0.000954,0.001283,0.000668,0.000444,0.000000,0.000000,0.002453,0.000000,0.001987,0.000000,0.000001,0.002893,0.001237,0.011643,0.000000,0.000698,0.001005,0.000110,0.004241,0.001642,0.000463,0.001345,0.000000,0.000000,0.001100,0.000032,0.000000,0.000435,0.000011,0.000457,0.001360,0.002471,0.000101,0.000906,0.004706,0.001089,0.002647,0.004559,0.000767,0.002241,0.005933,0.000412,0.005812,0.002885,0.000498,0.000000,0.000116,0.000914,0.000751,0.001520,0.000002,0.004315,0.000542,0.004229,0.003831,0.000103,0.000596,0.002910,0.000249,0.000537,0.000489,0.002049,0.000000,0.000000,0.005079,0.000369,0.002596,0.000000,0.000119,0.000005,0.000000
2013-03-01,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000006,,0.000000,0.000004,0.000161,0.000002,0.000001,0.000034,0.000000,0.000000,0.000000,0.000000,0.000089,0.000000,0.000000,0.001816,0.001126,0.001295,0.005596,0.005864,0.000875,0.005014,0.002321,0.001162,0.001204,0.000428,0.000000,0.000000,0.002484,0.000000,0.002134,0.000000,0.000000,0.002556,0.001103,0.020183,0.000000,0.001892,0.000142,0.000204,0.003898,0.001429,0.000177,0.001136,0.000000,0.000000,0.001415,0.000000,0.000000,0.000524,0.000010,0.000216,0.001182,0.001534,0.000358,0.000640,0.004348,0.000312,0.003392,0.004490,0.000809,0.001525,0.005548,0.000452,0.007065,0.002786,0.000475,0.000001,0.000138,0.000659,0.000710,0.001252,0.000008,0.004196,0.000651,0.003908,0.003863,0.000080,0.000499,0.002296,0.000218,0.000231,0.000520,0.000882,0.000000,0.000000,0.004324,0.000455,0.002407,0.000000,0.000341,0.000004,0.009704
2013-04-01,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000005,,0.000000,0.000000,0.000301,0.000005,0.000011,0.000116,0.000000,0.000000,0.000000,0.000000,0.000122,0.000000,0.000000,0.001507,0.001352,0.000203,0.004154,0.005360,0.000702,0.009064,0.002789,0.001611,0.000994,0.000368,0.000000,0.000000,0.002757,0.000000,0.001979,0.000000,0.000002,0.003965,0.001412,0.017976,0.000059,0.000552,0.000308,0.000094,0.004321,0.001212,0.000236,0.001071,0.000000,0.000000,0.001341,0.000000,0.000000,0.000522,0.000011,0.000304,0.000745,0.001246,0.000307,0.000321,0.004670,0.000276,0.003226,0.004158,0.000541,0.001803,0.003450,0.000405,0.003368,0.003057,0.000553,0.000000,0.000291,0.001097,0.001181,0.001102,0.000006,0.005225,0.000583,0.003729,0.003618,0.000123,0.000193,0.002016,0.000112,0.000676,0.002254,0.000492,0.000000,0.000000,0.003881,0.000359,0.001706,0.000001,0.000139,0.000009,0.000000
2013-05-01,0.000000,0.000002,0.000000,0.000043,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,,0.000000,0.000021,0.000000,0.000004,0.000008,0.000048,0.000000,0.000000,0.000000,0.000000,0.000161,0.000001,0.000000,0.002647,0.001185,0.000779,0.003309,0.003874,0.000354,0.014420,0.002815,0.001400,0.001154,0.000170,0.000000,0.000000,0.002102,0.000000,0.001678,0.000016,0.000016,0.004986,0.001038,0.004381,0.000008,0.000370,0.000121,0.000161,0.003908,0.000846,0.000234,0.000877,0.000000,0.000000,0.000958,0.000000,0.000000,0.000411,0.000011,0.000337,0.000758,0.001901,0.000120,0.000360,0.005620,0.000275,0.003762,0.004128,0.000938,0.000970,0.002669,0.000424,0.006582,0.003325,0.000605,0.000000,0.000249,0.001021,0.000902,0.001182,0.000030,0.004756,0.000391,0.003764,0.003710,0.000148,0.000409,0.001940,0.000178,0.000898,0.002423,0.001835,0.000000,0.000000,0.003824,0.000355,0.001247,0.000000,0.000143,0.000003,0.002435
2013-06-01,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,,0.000000,0.000000,0.000245,0.000001,0.000043,0.000058,0.000000,0.000000,0.000000,0.000000,0.000149,0.000000,0.000000,0.003677,0.001151,0.000771,0.003925,0.004498,0.000107,0.010622,0.004199,0.000907,0.001091,0.000178,0.000000,0.000000,0.001974,0.000000,0.001755,0.000000,0.000053,0.002413,0.000911,0.001073,0.000000,0.000861,0.000158,0.000185,0.003655,0.000897,0.000252,0.000886,0.000000,0.000000,0.000617,0.000000,0.000000,0.000705,0.000031,0.000237,0.000950,0.002093,0.000232,0.000617,0.004253,0.000342,0.002897,0.003847,0.000460,0.000662,0.003701,0.000375,0.002437,0.003484,0.000588,0.000000,0.000274,0.001023,0.000676,0.001215,0.000075,0.005190,0.000315,0.003946,0.003707,0.000109,0.000615,0.001907,0.000129,0.000560,0.001728,0.000864,0.000000,0.000000,0.005080,0.000314,0.001133,0.000000,0.000045,0.000004,0.010396
2013-07-01,0.000000,0.000000,0.000000,0.000187,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000002,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000096,0.000000,0.000000,0.000000,0.000000,0.000144,0.000000,0.000000,0.000577,0.001305,0.000511,0.004235,0.004031,0.000670,0.011452,0.003030,0.000730,0.001019,0.000141,0.000000,0.000000,0.001461,0.000000,0.001696,0.000000,0.000000,0.003211,0.000736,0.011085,0.000000,0.000628,0.000224,0.000062,0.003570,0.000624,0.000274,0.001121,0.000000,0.000000,0.000236,0.000000,0.000000,0.000706,0.000022,0.000307,0.000589,0.002875,0.000199,0.000382,0.004029,0.000249,0.003089,0.003838,0.000394,0.000854,0.002868,0.000294,0.003796,0.003548,0.000372,0.000000,0.000289,0.001142,0.000775,0.001191,0.000007,0.003807,0.000215,0.003917,0.003325,0.000100,0.000436,0.002226,0.000136,0.000452,0.001401,0.005030,0.000000,0.000000,0.004856,0.000324,0.000647,0.000000,0.000234,0.000008,0.001745
2013-08-01,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000001,,0.000000,0.000000,0.000344,0.000000,0.000042,0.000013,0.000000,0.000000,0.000000,0.000085,0.000585,0.000001,0.000000,0.002864,0.001041,0.000326,0.005046,0.003576,0.000168,0.010512,0.002629,0.001153,0.002637,0.000229,0.000000,0.000000,0.002501,0.000000,0.001304,0.000000,0.000106,0.001846,0.001031,0.006747,0.000021,0.000103,0.000122,0.000060,0.004713,0.000706,0.000321,0.000879,0.000000,0.000000,0.000313,0.000002,0.000000,0.000631,0.000018,0.000451,0.000122,0.002101,0.000174,0.000289,0.004079,0.000342,0.002903,0.003503,0.000337,0.000685,0.002936,0.000265,0.004622,0.003166,0.000680,0.000000,0.000340,0.001205,0.000856,0.001090,0.000003,0.003859,0.000379,0.003814,0.003070,0.000043,0.000327,0.002133,0.000164,0.000788,0.002424,0.001808,0.000000,0.000000,0.004287,0.000327,0.001211,0.000000,0.000058,0.000010,0.019176
2013-09-01,0.000000,0.000003,0.000002,0.000000,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,,0.000000,0.000000,0.000000,0.000011,0.000052,0.000028,0.000000,0.000000,0.000000,0.000000,0.000171,0.000000,0.000000,0.000015,0.001361,0.000334,0.004334,0.004059,0.000761,0.011027,0.005821,0.000563,0.006300,0.000106,0.000000,0.000312,0.002488,0.000000,0.001444,0.000000,0.000001,0.002658,0.000945,0.011556,0.000000,0.000227,0.000085,0.000105,0.004479,0.000842,0.000305,0.001379,0.000000,0.000000,0.000206,0.000000,0.000000,0.000489,0.000013,0.000559,0.000458,0.001658,0.000086,0.000355,0.004122,0.000209,0.003224,0.003704,0.000442,0.000368,0.002147,0.000517,0.003395,0.002320,0.000762,0.000000,0.000262,0.000986,0.000797,0.001460,0.000016,0.004835,0.000386,0.003574,0.003036,0.000022,0.000276,0.002185,0.000136,0.000865,0.002219,0.000548,0.000000,0.000000,0.004887,0.000311,0.000793,0.000000,0.000020,0.000014,0.000017
